name,address,price,number
Prestwold," Cortlandt Manor, NY 10567 "," $725,995",888-406-9048
Greenwich," Sleepy Hollow, NY 10591 "," $1,422,995",888-237-9211
Killian," Cortlandt Manor, NY 10567 "," $708,995",888-406-9048
2204," Sleepy Hollow, NY 10591 "," $904,995",888-209-7689
Park," Sleepy Hollow, NY 10591 "," $1,540,995",888-237-9211
The Bannerman," Cold Spring, NY 10516 "," $415,000",888-324-9324
S803," New York, NY 10010 "," $3,460,000",888-320-0078
12B," New York, NY 10013 "," $1,725,000",888-571-8716
Greenwich," Sleepy Hollow, NY 10591 "," $1,342,995",888-237-9211
The Butterfield B," Cold Spring, NY 10516 "," $480,000",888-324-9324
2301," Sleepy Hollow, NY 10591 "," $1,322,995",888-209-7689
S10G," New York, NY 10013 "," $1,415,000",877-221-0146
Greenwich," Sleepy Hollow, NY 10591 "," $1,361,995",888-237-9211
2306," Sleepy Hollow, NY 10591 "," $1,218,995",888-209-7689
The Constitution A," Cold Spring, NY 10516 "," $399,000",888-324-9324
Park," Sleepy Hollow, NY 10591 "," $1,491,995",888-237-9211
2206," Sleepy Hollow, NY 10591 "," $889,995",888-209-7689
N1004," New York, NY 10010 "," $1,825,000",888-320-0078
The Boscobel," Cold Spring, NY 10516 "," $634,000",888-324-9324
SPH," New York, NY 10010 "," $9,975,000",888-320-0078
2105," Sleepy Hollow, NY 10591 "," $909,995",888-209-7689
N503," New York, NY 10010 "," $1,310,000",888-320-0078
The Foundry," Cold Spring, NY 10516 "," $369,500",888-324-9324
"Cornell (Price includes $600,000 for lot)"," Scarsdale, NY 10583 "," $1,157,082",888-501-0096
2302," Sleepy Hollow, NY 10591 "," $1,350,995",888-209-7689
N606," New York, NY 10010 "," $4,990,000",888-320-0078
N1602," New York, NY 10010 "," $4,680,000",888-320-0078
Prestwold," Cortlandt Manor, NY 10567 "," $716,995",888-406-9048
N1302," New York, NY 10010 "," $6,450,000",888-320-0078
"Georgetown (Price includes $600,000 for lot)"," Scarsdale, NY 10583 "," $1,273,088",888-501-0096
S201," New York, NY 10010 "," $3,160,000",888-320-0078
Bristol," Cortlandt Manor, NY 10567 "," $701,995",888-406-9048
"Cornell (Price includes $400,000 for lot)"," Mount Kisco, NY 10549 "," $957,082",888-588-1094
NPH3," New York, NY 10010 "," $7,000,000",888-320-0078
Killian," Cortlandt Manor, NY 10567 "," $799,995",888-406-9048
"Georgetown (Price includes $400,000 for lot)"," Mount Kisco, NY 10549 "," $1,073,088",888-588-1094
2202," Sleepy Hollow, NY 10591 "," $1,016,995",888-209-7689
N602," New York, NY 10010 "," $3,330,000",888-320-0078
Pentwater," Cortlandt Manor, NY 10567 "," $699,995",888-406-9048
2105," Sleepy Hollow, NY 10591 "," $960,995",888-209-7689
2304," Sleepy Hollow, NY 10591 "," $1,222,995",888-209-7689
S14B," New York, NY 10013 "," $3,995,000",877-221-0146
Killian," Cortlandt Manor, NY 10567 "," $749,995",888-406-9048
N10A," New York, NY 10013 "," $2,275,000",877-221-0146
S12B," New York, NY 10013 "," $3,995,000",877-221-0146
S5E," New York, NY 10013 "," $1,025,000",877-221-0146
Prestwold," Cortlandt Manor, NY 10567 "," $728,995",888-406-9048
Carroll," Sleepy Hollow, NY 10591 "," $1,225,995",888-237-9211
2205," Sleepy Hollow, NY 10591 "," $960,995",888-209-7689
NPHB," New York, NY 10013 "," $5,495,000",877-221-0146
2303," Sleepy Hollow, NY 10591 "," $1,148,995",888-209-7689
N1304," New York, NY 10010 "," $10,995,000",888-320-0078
n1505," New York, NY 10010 "," $4,155,000",888-320-0078
3G," New York, NY 10013 "," $2,570,000",888-571-8716
1307," Sleepy Hollow, NY 10591 "," $799,995",888-209-7689
N8E," New York, NY 10013 "," $1,070,000",877-221-0146
14E," New York, NY 10013 "," $4,450,000",888-571-8716
Pentwater," Cortlandt Manor, NY 10567 "," $588,995",888-406-9048
PH1," New York, NY 10013 "," $8,250,000",888-571-8716
The Putnam," Cold Spring, NY 10516 "," $529,000",888-324-9324
PH," New York, NY 10022 "," $6,500,000",888-589-9720
N301," New York, NY 10010 "," $2,600,000",888-320-0078
Pentwater," Cortlandt Manor, NY 10567 "," $658,995",888-406-9048
PH3," New York, NY 10013 "," $7,990,000",888-571-8716
S12C," New York, NY 10013 "," $3,695,000",877-221-0146
N302," New York, NY 10010 "," $3,225,000",888-320-0078
2201," Sleepy Hollow, NY 10591 "," $990,995",888-209-7689
12C," New York, NY 10013 "," $4,010,000",888-571-8716
2101," Sleepy Hollow, NY 10591 "," $859,995",888-209-7689
The Constitution B," Cold Spring, NY 10516 "," $424,000",888-324-9324
11F," New York, NY 10013 "," $4,550,000",888-571-8716
N14A," New York, NY 10013 "," $4,425,000",877-221-0146
N1001," New York, NY 10010 "," $2,970,000",888-320-0078
S902," New York, NY 10010 "," $6,385,000",888-320-0078
Prestwold," Cortlandt Manor, NY 10567 "," $705,995",888-406-9048
N707," New York, NY 10010 "," $3,350,000",888-320-0078
PH5," New York, NY 10013 "," $5,190,000",888-571-8716
15A," New York, NY 10013 "," $4,450,000",888-571-8716
13B," New York, NY 10013 "," $1,735,000",888-571-8716
N13C," New York, NY 10013 "," $3,495,000",877-221-0146
2205," Sleepy Hollow, NY 10591 "," $909,995",888-209-7689
N908," New York, NY 10010 "," $3,055,000",888-320-0078
S7D," New York, NY 10013 "," $2,350,000",877-221-0146
Park," Sleepy Hollow, NY 10591 "," $1,403,995",888-237-9211
N9B," New York, NY 10013 "," $1,535,000",877-221-0146
Bristol," Cortlandt Manor, NY 10567 "," $755,995",888-406-9048
Boerum," Sleepy Hollow, NY 10591 "," $1,196,995",888-237-9211
1306," Sleepy Hollow, NY 10591 "," $1,168,995",888-209-7689
Prestwold," Cortlandt Manor, NY 10567 "," $657,995",888-406-9048
S8C," New York, NY 10013 "," $2,190,000",877-221-0146
N1503," New York, NY 10010 "," $5,025,000",888-320-0078
